req_id,req_date,req_time,lab_name,parts_in_repair,quantity,status,allotted,pending
3,motherboard,7,0,7,pending
,Monitor,1,0,1,
,processor,2,0,2,
13,motherboard,1,0,1,pending
,processor,1,0,1,
,memory,0,0,0,
,HDD,0,0,0,
,Monitor,0,0,0,
14,motherboard,2,0,2,pending
,processor,2,0,2,
,memory,1,0,1,
,HDD,1,0,1,
,Monitor,0,0,0,
16,motherboard,3,0,3,pending
,processor,3,0,3,
,memory,0,0,0,
,HDD,1,0,1,
,Monitor,1,0,1,
19,motherboard,2,0,2,pending
,processor,2,0,2,
,memory,1,0,1,
,HDD,0,0,0,
,Monitor,0,0,0,
20,motherboard,3,0,3,pending
,processor,0,0,0,
,memory,0,0,0,
,HDD,0,0,0,
,Monitor,0,0,0,
21,motherboard,1,0,1,pending
,processor,0,0,0,
,memory,0,0,0,
,HDD,0,0,0,
,Monitor,0,0,0,
22,motherboard,1,0,1,pending
,processor,1,0,1,
,memory,0,0,0,
,HDD,0,0,0,
,Monitor,0,0,0,
23,motherboard,1,0,1,pending
,processor,0,0,0,
,memory,0,0,0,
,HDD,0,0,0,
,Monitor,0,0,0,
24,motherboard,1,0,1,pending
,processor,0,0,0,
,memory,1,0,1,
,HDD,0,0,0,
,Monitor,0,0,0,
25,motherboard,0,0,0,pending
,processor,0,0,0,
,memory,0,0,0,
,HDD,1,0,1,
,Monitor,1,0,1,
26,motherboard,1,0,1,pending
,processor,0,0,0,
,memory,0,0,0,
,HDD,1,0,1,
,Monitor,0,0,0,
27,motherboard,0,0,0,pending
,processor,0,0,0,
,memory,0,0,0,
,HDD,0,0,0,
,Monitor,1,0,1,
,Keyboard,0,0,0,
,Mouse,0,0,0,
28,motherboard,5,0,5,pending
,processor,5,0,5,
,memory,1,0,1,
,HDD,0,0,0,
,Monitor,0,0,0,
,Keyboard,0,0,0,
,Mouse,0,0,0,
29,motherboard,0,0,0,pending
,processor,0,0,0,
,memory,2,0,2,
,HDD,0,0,0,
,Monitor,0,0,0,
,Keyboard,0,0,0,
,Mouse,0,0,0,
30,motherboard,2,0,2,pending
,processor,0,0,0,
,memory,2,0,2,
,HDD,0,0,0,
,Monitor,0,0,0,
,Keyboard,0,0,0,
,Mouse,0,0,0,
31,motherboard,2,0,2,pending
,memory,2,0,2,
33,motherboard,7,0,7,pending
,processor,3,0,3,
,memory,4,0,4,
,HDD,2,0,2,
35,motherboard,1,0,1,pending
,memory,1,0,1,
,HDD,1,0,1,
36,motherboard,1,0,1,pending
,processor,1,0,1,
,memory,1,0,1,
37,motherboard,2,0,2,"pending
"
,processor,2,0,2,
,memory,2,0,2,
,HDD,1,0,1,
,Monitor,1,0,1,
,Keyboard,2,0,2,
,Mouse,1,0,1,
39,memory,1,0,1,pending
,HDD,2,0,2,
,Monitor,1,0,1,
,Keyboard,1,0,1,
,Mouse,1,0,1,
43,motherboard,15,0,15,pending
,processor,4,0,4,
,memory,3,0,3,
,Keyboard,12,0,12,
,Mouse,5,0,5,
47,motherboard,3,0,3,pending
,Keyboard,4,0,4,
,Mouse,2,0,2,
